FDS Case,Wall Clock Time (s),CPU Time (s),Number of Cells,Number of Time Steps,Performance Metric (1e-6)
aerosol_agglomeration.fds,103.758, 1.019E+02,1000,900,113
aerosol_agglomeration_2.fds,276.631, 2.748E+02,1000,900,305
aerosol_gravitational_deposition.fds,10.431, 8.632E+00,1000,900,9
aerosol_gravitational_deposition_2.fds,10.240, 8.438E+00,1000,900,9
aerosol_thermophoretic_deposition.fds,15.752, 1.397E+01,1000,900,15
aerosol_thermophoretic_deposition_2.fds,15.728, 1.394E+01,1000,900,15
aerosol_turbulent_deposition.fds,179.381, 1.776E+02,30,900,6577
aerosol_scrubbing.fds,410.964, 4.022E+02,64,900,6982
propane_flame_deposition.fds,35.726, 3.002E+01,2000,900,16
propane_flame_deposition_gravitational.fds,33.364, 2.772E+01,2000,900,15
propane_flame_deposition_none.fds,32.209, 2.652E+01,2000,900,14
propane_flame_deposition_thermophoretic.fds,32.994, 2.740E+01,2000,900,15
propane_flame_deposition_turbulent.fds,32.494, 2.680E+01,2000,900,14
soot_oxidation_wall.fds,28.029, 2.233E+01,1000,900,24
lee_waves.fds,1981.690, 1.980E+03,10000,900,220
stack_effect.fds,804.633, 8.028E+02,30000,633,42
lapse_rate.fds,3.369, 9.612E-02,40,4,0
MO_velocity_profile_stable.fds,669.894, 6.687E+02,320000,283,7
MO_velocity_profile_unstable.fds,268.225, 2.671E+02,320000,131,6
geom_channel.fds,2.444, 1.362E+00,108,89,141
geom_channel2.fds,1.267, 2.023E-01,22,10,0
geom_channel_tmp.fds,2.017, 9.372E-01,24,34,0
geom_channel_tmp2.fds,51.175, 5.104E+01,22,900,2577
geom_extruded_poly.fds,258.452, 2.512E+02,64000,269,14
geom_intersection.fds,0.526, 5.286E-02,1000,4,0
geom_obst.fds,16.469, 1.115E+01,3375,140,23
geom_terrain2.fds,36.400, 1.686E+01,64000,18,14
geom_texture3a.fds,0.983, 2.145E-01,1000,5,0
geom_texture3b.fds,0.784, 1.364E-01,1000,5,0
geom_texture4a.fds,1.378, 2.808E-01,1000,5,0
geom_texture4b.fds,0.813, 1.514E-01,1000,5,0
sphere_helium_1mesh.fds,77.797, 4.251E+01,262144,10,16
sphere_radiate.fds,82.641, 2.183E+01,262144,1,83
sphere_leak.fds,2191.498, 2.173E+03,32768,900,73
saad_CC_explicit_512_cfl_p25.fds,107.875, 1.036E+02,2048,400,126
saad_CC_explicit_512_cfl_p125.fds,207.214, 2.025E+02,2048,800,123
saad_CC_explicit_512_cfl_p0625.fds,346.593, 3.451E+02,2048,900,187
shunn3_32_cc_exp_chm.fds,19.697, 1.959E+01,1024,104,183
shunn3_64_cc_exp_chm.fds,128.355, 1.243E+02,4096,188,161
shunn3_128_cc_exp_chm.fds,770.235, 7.653E+02,16384,358,130
shunn3_256_cc_exp_chm.fds,3427.753, 3.422E+03,65536,700,74
shunn3_384_cc_exp_chm.fds,6362.592, 6.354E+03,147456,900,47
shunn3_32_cc_exp_gdv.fds,19.517, 1.941E+01,1024,105,180
shunn3_64_cc_exp_gdv.fds,128.134, 1.249E+02,4096,189,161
shunn3_128_cc_exp_gdv.fds,749.574, 7.446E+02,16384,359,126
shunn3_256_cc_exp_gdv.fds,3353.954, 3.348E+03,65536,701,72
shunn3_384_cc_exp_gdv.fds,5833.308, 5.823E+03,147456,900,43
geom_poiseuille_N10a_theta0_ibm.fds,18.705, 1.852E+01,120,900,171
geom_poiseuille_N20a_theta0_ibm.fds,92.989, 9.201E+01,240,900,425
geom_poiseuille_N40a_theta0_ibm.fds,352.808, 3.487E+02,480,900,807
geom_poiseuille_N80a_theta0_ibm.fds,1155.248, 1.150E+03,960,900,1331
geom_poiseuille_N10na_theta0_ibm.fds,19.502, 1.605E+01,120,900,148
geom_poiseuille_N20na_theta0_ibm.fds,97.743, 9.302E+01,240,900,430
geom_poiseuille_N40na_theta0_ibm.fds,388.564, 3.838E+02,480,900,888
geom_poiseuille_N80na_theta0_ibm.fds,1035.062, 1.031E+03,960,900,1193
geom_poiseuille_N10nah_theta0_ibm.fds,18.805, 1.864E+01,120,900,172
geom_poiseuille_N20nah_theta0_ibm.fds,71.316, 6.816E+01,240,900,315
geom_poiseuille_N40nah_theta0_ibm.fds,347.913, 3.444E+02,480,900,797
geom_poiseuille_N80nah_theta0_ibm.fds,1075.455, 1.071E+03,960,900,1239
geom_poiseuille_N10a_theta0_stm.fds,20.888, 1.643E+01,120,900,152
geom_poiseuille_N20a_theta0_stm.fds,112.183, 1.077E+02,240,900,498
geom_poiseuille_N40a_theta0_stm.fds,463.639, 4.591E+02,480,900,1062
geom_poiseuille_N80a_theta0_stm.fds,1478.883, 1.474E+03,960,900,1706
geom_poiseuille_N10na_theta0_stm.fds,534.870, 5.306E+02,120,900,4912
geom_poiseuille_N20na_theta0_stm.fds,608.875, 6.044E+02,240,900,2798
geom_poiseuille_N40na_theta0_stm.fds,1184.280, 1.180E+03,480,900,2731
geom_poiseuille_N80na_theta0_stm.fds,10244.738, 1.024E+04,960,900,11851
geom_poiseuille_N10nah_theta0_stm.fds,117.293, 1.128E+02,120,900,1044
geom_poiseuille_N20nah_theta0_stm.fds,402.731, 3.980E+02,240,900,1842
geom_poiseuille_N40nah_theta0_stm.fds,1453.630, 1.449E+03,480,900,3354
geom_poiseuille_N80nah_theta0_stm.fds,8981.387, 8.977E+03,960,900,10390
geom_bad_non_manifold_vert.fds,4.146, 6.885E-02,1000,4,0
geom_self_intersection.fds,5.001, 1.068E+00,8000,7,19
rotated_cube_0deg_32_ibm.fds,10.342, 6.383E+00,1024,81,76
rotated_cube_0deg_32_stm.fds,10.238, 6.285E+00,1024,81,75
rotated_cube_0deg_32_obs.fds,8.992, 4.764E+00,1024,81,57
rotated_cube_0deg_64_ibm.fds,56.022, 5.144E+01,4096,162,77
rotated_cube_0deg_64_stm.fds,49.265, 4.462E+01,4096,162,67
rotated_cube_0deg_64_obs.fds,39.212, 3.498E+01,4096,162,52
rotated_cube_0deg_128_ibm.fds,504.668, 4.860E+02,16384,323,91
rotated_cube_0deg_128_stm.fds,488.424, 4.694E+02,16384,323,88
rotated_cube_0deg_128_obs.fds,336.978, 3.328E+02,16384,323,62
rotated_cube_0deg_256_ibm.fds,2671.023, 2.489E+03,65536,646,58
rotated_cube_0deg_256_stm.fds,2461.490, 2.299E+03,65536,646,54
rotated_cube_0deg_256_obs.fds,1831.637, 1.827E+03,65536,646,43
rotated_cube_0deg_384_ibm.fds,4516.972, 4.482E+03,147456,969,31
rotated_cube_0deg_384_stm.fds,4442.202, 4.391E+03,147456,969,30
rotated_cube_0deg_384_obs.fds,4195.574, 4.177E+03,147456,969,29
rotated_cube_27deg_32_ibm.fds,6.199, 2.235E+00,1024,54,40
rotated_cube_27deg_32_stm.fds,9.821, 8.517E+00,1024,54,154
rotated_cube_27deg_64_ibm.fds,57.546, 5.283E+01,4096,108,119
rotated_cube_27deg_64_stm.fds,58.246, 5.353E+01,4096,108,121
rotated_cube_27deg_128_ibm.fds,303.506, 2.988E+02,16384,216,84
rotated_cube_27deg_128_stm.fds,297.936, 2.932E+02,16384,216,82
rotated_cube_27deg_256_ibm.fds,1505.134, 1.487E+03,65536,432,52
rotated_cube_27deg_256_stm.fds,1659.978, 1.641E+03,65536,432,57
rotated_cube_27deg_384_ibm.fds,3216.810, 3.190E+03,147456,648,33
rotated_cube_27deg_384_stm.fds,3236.565, 3.210E+03,147456,648,33
rotated_cube_45deg_32_ibm.fds,9.764, 8.439E+00,1024,68,121
rotated_cube_45deg_32_stm.fds,10.090, 8.770E+00,1024,68,125
rotated_cube_45deg_64_ibm.fds,63.443, 5.931E+01,4096,136,106
rotated_cube_45deg_64_stm.fds,72.585, 6.705E+01,4096,136,120
rotated_cube_45deg_128_ibm.fds,378.341, 3.728E+02,16384,272,83
rotated_cube_45deg_128_stm.fds,418.331, 4.079E+02,16384,272,91
rotated_cube_45deg_256_ibm.fds,2042.178, 1.995E+03,65536,544,55
rotated_cube_45deg_256_stm.fds,2199.849, 2.145E+03,65536,544,60
rotated_cube_45deg_384_ibm.fds,4089.113, 4.056E+03,147456,815,33
rotated_cube_45deg_384_stm.fds,3947.513, 3.922E+03,147456,815,32
zero_thick_roof.fds,19.377, 9.484E+00,27000,11,31
cone_1mesh.fds,9.455, 1.035E-01,300,3,0
geom_mass_file_test.fds,78.957, 9.909E+00,64000,3,51
activate_vents.fds,19.413, 1.001E+01,2100,400,11
control_test_2.fds,18.366, 5.910E+00,8800,100,6
create_remove.fds,115.015, 1.058E+02,40,700,3778
cycle_test.fds,23.789, 1.504E+01,40,127,2960
device_test.fds,1288.184, 1.275E+03,60,900,23611
hrr_freeze.fds,276.217, 2.670E+02,8000,900,37
rms_cov_corr.fds,720.679, 7.186E+02,1000,900,798
rms_example.fds,11.911, 1.302E+00,27,900,53
aspiration_detector.fds,9.404, 7.625E+00,1000,900,8
smoke_detector.fds,15.185, 1.055E+01,125,317,266
energy_budget_adiabatic_walls.fds,4489.845, 4.489E+03,32000,900,155
energy_budget_adiabatic_two_fuels.fds,421.228, 4.209E+02,4000,900,116
energy_budget_cold_walls.fds,4196.830, 4.187E+03,32000,900,145
energy_budget_combustion.fds,511.829, 5.063E+02,8000,999,63
energy_budget_dns_100.fds,4461.775, 4.458E+03,2500,900,1981
energy_budget_particles.fds,415.733, 4.077E+02,1000,900,453
energy_budget_solid.fds,965.236, 9.619E+02,1000,900,1068
energy_budget_tmix.fds,53.787, 5.372E+01,121,900,493
test_hrr_2d_cyl.fds,90.467, 8.534E+01,800,900,118
test_hrr_3d.fds,897.115, 8.880E+02,64000,800,17
extinction_1.fds,13.344, 7.253E+00,,0,0
extinction_2.fds,9.920, 4.740E+00,,0,0
box_burn_away2.fds,146.077, 1.414E+02,1000,900,157
box_burn_away3.fds,59.822, 5.481E+01,1000,607,90
box_burn_away4.fds,64.192, 5.916E+01,1000,601,98
box_burn_away5.fds,201.155, 1.961E+02,1000,900,217
box_burn_away6.fds,216.195, 2.114E+02,1000,900,234
box_burn_away7.fds,85.666, 8.064E+01,1000,900,89
box_burn_away8.fds,70.084, 6.163E+01,1000,601,102
box_burn_away_2D.fds,69.562, 6.096E+01,100,900,677
box_burn_away_2D_residue.fds,71.044, 6.258E+01,100,900,695
box_burn_away1_pyro3d_vs_pyro1d.fds,1351.435, 1.343E+03,2000,900,746
box_burn_away1_pyro3d_transport.fds,1376.324, 1.368E+03,2000,900,760
couch.fds,3740.838, 3.732E+03,5760,900,719
fire_const_gamma.fds,566.788, 5.667E+02,8192,900,76
spray_burner.fds,3605.009, 3.591E+03,24000,900,166
HoC_Ideal.fds,12.842, 1.874E+00,1000,147,12
HoC_NonIdeal.fds,12.827, 1.873E+00,1000,147,12
simple_test.fds,2095.439, 2.089E+03,20736,900,111
