FDS Case,Wall Clock Time (s),CPU Time (s),Number of Cells,Number of Time Steps,Performance Metric (1e-6)
aerosol_agglomeration.fds,102.017, 1.019E+02,1000,900,113
aerosol_agglomeration_2.fds,296.750, 2.967E+02,1000,900,329
aerosol_gravitational_deposition.fds,8.518, 6.390E+00,1000,900,7
aerosol_gravitational_deposition_2.fds,8.696, 6.455E+00,1000,900,7
aerosol_thermophoretic_deposition.fds,15.230, 1.309E+01,1000,900,14
aerosol_thermophoretic_deposition_2.fds,14.992, 1.285E+01,1000,900,14
aerosol_turbulent_deposition.fds,165.070, 1.630E+02,30,900,6037
aerosol_scrubbing.fds,404.925, 3.968E+02,64,900,6888
propane_flame_deposition.fds,44.769, 3.898E+01,2000,900,21
propane_flame_deposition_gravitational.fds,44.546, 3.876E+01,2000,900,21
propane_flame_deposition_none.fds,37.557, 3.177E+01,2000,900,17
propane_flame_deposition_thermophoretic.fds,44.556, 3.877E+01,2000,900,21
propane_flame_deposition_turbulent.fds,43.647, 3.720E+01,2000,900,20
soot_oxidation_wall.fds,27.721, 2.344E+01,1000,900,26
lee_waves.fds,1499.105, 1.496E+03,10000,900,166
stack_effect.fds,671.572, 6.687E+02,30000,627,35
lapse_rate.fds,3.829, 1.179E-01,40,4,0
MO_velocity_profile_stable.fds,531.486, 5.286E+02,320000,286,5
MO_velocity_profile_unstable.fds,217.619, 2.148E+02,320000,125,5
geom_channel.fds,3.829, 1.071E+00,108,89,111
geom_channel2.fds,3.017, 1.432E-01,22,10,0
geom_channel_tmp.fds,4.583, 1.785E+00,24,92,808
geom_channel_tmp2.fds,192.048, 1.892E+02,22,900,9555
geom_extruded_poly.fds,295.843, 2.880E+02,46656,304,20
geom_hrrpuv_init.fds,28.978, 2.468E+01,8000,314,9
geom_intersection.fds,2.799, 3.621E-01,1000,4,0
geom_obst.fds,26.435, 1.986E+01,3375,159,37
geom_part_init.fds,51.564, 4.422E+01,8000,255,21
geom_terrain2.fds,70.161, 4.605E+01,64000,18,39
geom_texture3a.fds,4.874, 2.946E-01,1000,5,0
geom_texture3b.fds,4.694, 2.867E-01,1000,5,0
geom_texture4a.fds,4.889, 5.035E-01,1000,5,0
geom_texture4b.fds,5.603, 2.366E-01,1000,5,0
sphere_helium_1mesh.fds,80.761, 4.613E+01,262144,10,17
sphere_radiate.fds,77.018, 2.034E+01,262144,1,77
sphere_leak.fds,1896.608, 1.881E+03,32768,900,63
saad_CC_explicit_512_cfl_p25.fds,82.399, 7.796E+01,2048,400,95
saad_CC_explicit_512_cfl_p125.fds,161.158, 1.572E+02,2048,800,95
saad_CC_explicit_512_cfl_p0625.fds,257.672, 2.542E+02,2048,900,137
shunn3_32_cc_exp_chm.fds,20.006, 1.912E+01,1024,105,177
shunn3_64_cc_exp_chm.fds,111.570, 1.077E+02,4096,188,139
shunn3_128_cc_exp_chm.fds,621.088, 6.164E+02,16384,358,105
shunn3_256_cc_exp_chm.fds,3066.378, 3.062E+03,65536,700,66
shunn3_320_cc_exp_chm.fds,4025.093, 4.020E+03,102400,872,45
shunn3_32_cc_exp_gdv.fds,15.992, 1.506E+01,1024,106,138
shunn3_64_cc_exp_gdv.fds,82.154, 7.774E+01,4096,190,99
