FDS Case,Wall Clock Time (s),CPU Time (s),Number of Cells,Number of Time Steps,Performance Metric (1e-6)
aerosol_agglomeration.fds,113.412, 1.092E+02,1000,900,121
aerosol_agglomeration_2.fds,323.981, 3.198E+02,1000,900,355
aerosol_gravitational_deposition.fds,10.596, 6.454E+00,1000,900,7
aerosol_gravitational_deposition_2.fds,10.623, 6.494E+00,1000,900,7
aerosol_thermophoretic_deposition.fds,17.597, 1.346E+01,1000,900,14
aerosol_thermophoretic_deposition_2.fds,17.063, 1.298E+01,1000,900,14
aerosol_turbulent_deposition.fds,188.334, 1.842E+02,30,900,6822
aerosol_scrubbing.fds,526.333, 5.161E+02,64,900,8960
propane_flame_deposition.fds,35.906, 2.994E+01,2000,900,16
propane_flame_deposition_gravitational.fds,36.483, 3.069E+01,2000,900,17
propane_flame_deposition_none.fds,35.041, 2.931E+01,2000,900,16
propane_flame_deposition_thermophoretic.fds,36.624, 3.064E+01,2000,900,17
propane_flame_deposition_turbulent.fds,34.874, 2.895E+01,2000,900,16
soot_oxidation_wall.fds,25.327, 2.093E+01,1000,900,23
lee_waves.fds,769.161, 7.663E+02,10000,900,85
stack_effect.fds,296.297, 2.807E+02,30000,627,14
lapse_rate.fds,3.665, 1.316E-01,40,4,0
MO_velocity_profile_stable.fds,259.379, 2.539E+02,320000,286,2
MO_velocity_profile_unstable.fds,105.702, 1.012E+02,320000,126,2
geom_channel.fds,4.034, 1.181E+00,108,89,122
geom_channel2.fds,3.103, 2.623E-01,22,10,0
geom_channel_tmp.fds,5.074, 2.231E+00,24,93,999
geom_channel_tmp2.fds,91.143, 8.839E+01,22,900,4464
geom_extruded_poly.fds,129.723, 1.218E+02,46656,253,10
geom_hrrpuv_init.fds,26.651, 2.261E+01,8000,324,8
geom_intersection.fds,2.820, 3.033E-01,1000,4,0
geom_obst.fds,34.962, 2.905E+01,3375,226,38
geom_part_init.fds,44.664, 3.834E+01,8000,276,17
geom_terrain2.fds,31.600, 1.395E+01,64000,18,12
geom_texture3a.fds,3.023, 4.643E-01,1000,5,0
geom_texture3b.fds,2.958, 4.310E-01,1000,5,0
geom_texture4a.fds,3.269, 5.291E-01,1000,5,0
geom_texture4b.fds,2.965, 4.483E-01,1000,5,0
sphere_helium_1mesh.fds,66.732, 2.647E+01,262144,10,10
sphere_radiate.fds,83.165, 2.066E+01,262144,1,78
sphere_leak.fds,1103.164, 1.087E+03,32768,900,36
saad_CC_explicit_512_cfl_p25.fds,32.388, 2.960E+01,2048,400,36
saad_CC_explicit_512_cfl_p125.fds,60.145, 5.780E+01,2048,800,35
saad_CC_explicit_512_cfl_p0625.fds,98.044, 9.570E+01,2048,900,51
shunn3_32_cc_exp_chm.fds,8.675, 6.324E+00,1024,105,58
shunn3_64_cc_exp_chm.fds,42.011, 3.962E+01,4096,188,51
shunn3_128_cc_exp_chm.fds,270.035, 2.641E+02,16384,358,45
shunn3_256_cc_exp_chm.fds,2136.483, 2.060E+03,65536,700,44
shunn3_320_cc_exp_chm.fds,3597.011, 3.420E+03,102400,872,38
shunn3_32_cc_exp_gdv.fds,8.275, 7.646E+00,1024,106,70
shunn3_64_cc_exp_gdv.fds,28.774, 2.663E+01,4096,190,34
shunn3_128_cc_exp_gdv.fds,186.211, 1.810E+02,16384,359,30
shunn3_256_cc_exp_gdv.fds,1666.626, 1.592E+03,65536,701,34
shunn3_320_cc_exp_gdv.fds,2990.814, 2.812E+03,102400,873,31
geom_poiseuille_N10a_theta0_stm.fds,5.453, 3.418E+00,48,923,77
geom_poiseuille_N20a_theta0_stm.fds,16.433, 1.436E+01,96,900,166
geom_poiseuille_N40a_theta0_stm.fds,76.641, 7.455E+01,192,900,431
geom_poiseuille_N80a_theta0_stm.fds,518.499, 5.164E+02,384,900,1494
geom_poiseuille_N10na_theta0_stm.fds,124.084, 1.221E+02,48,900,2826
geom_poiseuille_N20na_theta0_stm.fds,212.929, 2.109E+02,96,900,2440
geom_poiseuille_N40na_theta0_stm.fds,406.356, 4.044E+02,192,900,2340
geom_poiseuille_N80na_theta0_stm.fds,4373.069, 4.371E+03,384,900,12647
geom_poiseuille_N10nah_theta0_stm.fds,15.080, 1.303E+01,48,900,301
geom_poiseuille_N20nah_theta0_stm.fds,77.051, 7.501E+01,96,900,868
geom_poiseuille_N40nah_theta0_stm.fds,506.103, 5.040E+02,192,900,2916
geom_poiseuille_N80nah_theta0_stm.fds,3063.319, 3.061E+03,384,900,8857
geom_bad_non_manifold_vert.fds,1.381, 1.841E-01,1000,4,0
geom_self_intersection.fds,2.761, 1.192E+00,8000,7,21
rotated_cube_0deg_32_stm.fds,4.215, 3.317E+00,1024,80,40
rotated_cube_0deg_32_obs.fds,2.466, 1.990E+00,1024,80,24
rotated_cube_0deg_64_stm.fds,25.626, 2.295E+01,4096,160,35
rotated_cube_0deg_64_obs.fds,15.807, 1.487E+01,4096,160,22
rotated_cube_0deg_128_stm.fds,151.530, 1.356E+02,16384,320,25
rotated_cube_0deg_128_obs.fds,108.772, 1.037E+02,16384,320,19
