date,time,ws30,ws40,ws50,ws60,ws70,ws80,ws90,ws100,ws110,ws120,ws130,ws140,ws150,ws160,ws170,ws180,ws190,ws200,sds30,sds40,sds50,sds60,sds70,sds80,sds90,sds100,sds110,sds120,sds130,sds140,sds150,sds160,sds170,sds180,sds190,sds200,r30,r40,r50,r60,r70,r80,r90,r100,r110,r120,r130,r140,r150,r160,r170,r180,r190,r200,wd30,wd40,wd50,wd60,wd70,wd80,wd90,wd100,wd110,wd120,wd130,wd140,wd150,wd160,wd170,wd180,wd190,wd200,sdwd30,sdwd40,sdwd50,sdwd60,sdwd70,sdwd80,sdwd90,sdwd100,sdwd110,sdwd120,sdwd130,sdwd140,sdwd150,sdwd160,sdwd170,sdwd180,sdwd190,sdwd200,w30,w40,w50,w60,w70,w80,w90,w100,w110,w120,w130,w140,w150,w160,w170,w180,w190,w200,rw30,rw40,rw50,rw60,rw70,rw80,rw90,rw100,rw110,rw120,rw130,rw140,rw150,rw160,rw170,rw180,rw190,rw200,unoise,vnoise,wnoise,batv,tempc,rain,snow
04/05/2016,11:23:20,0.95,1.03,1.73,2.99,2.55,2.26,5.21,5.8,5.54,7.08,6.13,99.99,99.99,99.99,99.99,99.99,99.99,99.99,0.84,1.46,1.71,1.96,2.2,1.92,1.02,1.07,0.98,0.73,0.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,238,230,223,217,197,213,221,213,202,216,9999,9999,9999,9999,9999,9999,9999,82,89,95,42,61,41,12,9,23,3,4,9999,9999,9999,9999,9999,9999,9999,0.94,0.98,0.98,0.82,1.1,0.7,1.55,1.66,1.41,1.13,0.55,0.2,99.99,99.99,99.99,99.99,99.99,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.64,17.92,27.45,12.14,27.07,0,0
04/05/2016,11:25:04,1.43,0.32,1.04,3.18,2.44,4.15,3.14,2.88,3.06,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,0.81,0.61,0.85,1.41,1.3,1.85,1.51,1.45,2.51,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,270,216,228,227,200,199,205,231,9999,9999,9999,9999,9999,9999,9999,9999,9999,29,82,47,16,29,30,33,23,44,9999,9999,9999,9999,9999,9999,9999,9999,9999,0.07,0.17,0,-0.36,-0.23,-0.18,0.14,0.04,0.12,0.11,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.98,11.14,16.14,12.24,27.22,0,0
04/05/2016,11:26:45,2.17,1.58,0.34,0.14,0.75,1.86,2.41,3.37,1.85,3.07,2.73,99.99,99.99,99.99,99.99,99.99,99.99,99.99,0.94,0.89,0.54,0.82,1.28,0.92,1.03,1.5,1.93,1.2,1.53,99.99,99.99,99.99,99.99,99.99,99.99,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,210,128,0,60,328,1,343,303,269,247,9999,9999,9999,9999,9999,9999,9999,20,37,88,98,78,42,47,31,58,33,17,9999,9999,9999,9999,9999,9999,9999,-0.45,-0.54,-0.55,-0.42,-0.16,-0.49,-0.55,-0.4,-0.31,-0.08,-0.04,0.19,0.29,0.31,99.99,99.99,99.99,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.02,7.61,10.21,12.3,27.23,0,0
04/05/2016,11:28:20,0.69,0.5,2.39,1.9,1.28,2.19,2.2,2.03,3.84,2,1.81,99.99,99.99,99.99,99.99,99.99,99.99,99.99,0.64,1.15,1.45,1.12,1.86,0.97,1.36,0.82,1.35,1.19,1.82,99.99,99.99,99.99,99.99,99.99,99.99,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,269,204,219,180,192,204,213,203,201,220,9999,9999,9999,9999,9999,9999,9999,57,64,35,55,78,42,36,36,27,46,74,9999,9999,9999,9999,9999,9999,9999,0.34,0.29,0,0.44,0.34,0.33,0.29,0.39,0.51,0.82,0.94,1.09,1.02,99.99,99.99,99.99,99.99,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39,5.48,6.81,12.43,27,0,0
04/05/2016,11:30:01,0.37,0.22,1.45,1.59,2.09,2.82,2.5,1.74,1.01,1.48,1.94,99.99,99.99,99.99,99.99,99.99,99.99,99.99,0.45,0.61,1.38,0.68,1.32,0.78,1.08,0.99,0.99,1,0.65,99.99,99.99,99.99,99.99,99.99,99.99,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,219,227,222,228,233,209,234,158,172,109,9999,9999,9999,9999,9999,9999,9999,85,89,50,46,33,11,24,19,54,36,10,9999,9999,9999,9999,9999,9999,9999,-0.21,-0.08,-0.51,-0.58,-0.75,-0.69,-0.58,-0.23,0.25,0.34,0.69,0.59,0.75,99.99,99.99,99.99,99.99,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51,4.59,4.86,12.52,26.89,0,0
04/05/2016,11:31:42,1.17,1.43,0.69,0.59,0.2,0.76,1.1,0.63,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,0.51,1.13,0.76,0.91,0.83,1.12,0.46,0.86,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,229,221,233,116,107,119,128,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,28,47,70,77,97,76,43,74,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,-0.32,-0.4,-0.46,-0.43,-0.47,-0.06,-0.09,-0.23,-0.01,0.1,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,3.96,3.78,12.48,26.74,0,0
04/05/2016,11:33:24,0.41,0.45,1.29,1.19,1.15,1.76,1.61,1.43,1.43,2.94,7.63,99.99,99.99,99.99,99.99,99.99,99.99,99.99,0.68,1.01,1.55,1.62,1.6,1.95,2.33,1.82,1.68,2.78,1.08,99.99,99.99,99.99,99.99,99.99,99.99,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,116,190,195,122,212,218,199,219,224,238,9999,9999,9999,9999,9999,9999,9999,84,82,93,78,72,80,85,73,83,56,12,9999,9999,9999,9999,9999,9999,9999,0.24,0.57,0.7,0.71,0.73,0.6,0.72,0.3,0.27,0.26,0.69,0.84,0.64,0.58,99.99,99.99,99.99,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,3.58,3.23,12.26,26.54,0,0
04/05/2016,11:35:05,1.83,1.73,1.58,2.64,2.49,3.93,3.63,5.06,4.94,7.31,6.22,6.76,5.83,99.99,99.99,99.99,99.99,99.99,1.4,1.87,1.19,2.72,2.03,1.78,1.63,1.83,1.67,1.02,2.46,0.8,1.63,99.99,99.99,99.99,99.99,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,223,208,218,227,224,227,220,222,222,212,227,217,9999,9999,9999,9999,9999,38,40,47,29,38,16,12,17,14,8,17,4,12,9999,9999,9999,9999,9999,0.51,0.52,0.52,0.53,0.68,0.49,0.64,0.92,0.93,1.28,1.26,1.52,1.54,1.54,1.78,2.05,99.99,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66,3.41,3.03,12.51,26.72,0,0
04/05/2016,11:36:40,1.27,4.29,3.96,3.89,4.42,4.55,5.06,5.71,5.72,6.32,4.42,99.99,99.99,99.99,99.99,99.99,99.99,99.99,0.83,1.44,1.99,1.84,1.82,1.76,1.48,2.08,1.08,1.15,2.37,99.99,99.99,99.99,99.99,99.99,99.99,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,218,220,232,224,218,215,225,219,220,221,9999,9999,9999,9999,9999,9999,9999,30,19,25,19,11,6,17,9,13,13,48,9999,9999,9999,9999,9999,9999,9999,0.67,1.16,0.98,1.17,0.86,1.25,1.16,1.43,1.66,1.53,1.6,1.53,1.87,1.61,1.79,2.41,99.99,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,4.23,2.83,12.67,27.32,0,0
04/05/2016,11:38:21,0.87,3.66,3.96,4.96,5.54,4.99,6.48,6.06,5.99,6.09,5.28,6.9,99.99,99.99,99.99,99.99,99.99,99.99,0.73,1.67,2.04,2.08,2.77,1.22,2.64,2.42,1.47,1.08,0.07,0.1,99.99,99.99,99.99,99.99,99.99,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,216,228,214,218,218,216,224,221,225,218,234,9999,9999,9999,9999,9999,9999,73,19,20,20,6,14,8,6,12,9,5,5,9999,9999,9999,9999,9999,9999,0.42,0.8,0.7,0.9,0.82,0.9,0.9,0.97,1.03,0.75,0.75,0.95,1.48,0.92,1.71,99.99,99.99,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69,3.84,2.8,12.64,27.83,0,0
